Report generated on: 04-06-2022 16:33:45,
Series Key,INTL.57-1-WORL-TBPD.M
Series Name,"Crude oil including lease condensate production, World, Monthly"
Units,TBPD
Frequency,M
,
,
,
,
2014-02,78207
2014-03,77620
2014-04,77361
2014-05,77585
2014-06,77961
2014-07,78177
2014-08,78457
2014-09,79216
2014-10,80168
2014-11,79964
2014-12,80864
2015-01,80132
2015-02,80032
2015-03,80948
2015-04,80578
2015-05,80488
2015-06,80943
2015-07,81458
2015-08,81196
2015-09,81088
2015-10,81039
2015-11,81713
2015-12,81894
2016-01,81839
2016-02,81094
2016-03,80980
2016-04,80205
2016-05,79413
2016-06,80126
2016-07,80884
2016-08,80315
2016-09,80674
2016-10,81831
2016-11,82830
2016-12,82279
2017-01,81287
2017-02,81082
2017-03,80607
2017-04,80164
2017-05,80762
2017-06,81295
2017-07,81688
2017-08,81180
2017-09,81329
2017-10,81505
2017-11,82083
2017-12,81600
2018-01,82203
2018-02,82328
2018-03,82325
2018-04,82010
2018-05,81830
2018-06,82279
2018-07,82818
2018-08,83288
2018-09,83259
2018-10,84365
2018-11,84502
2018-12,84185
2019-01,82603
2019-02,82356
2019-03,82282
2019-04,82073
2019-05,81519
2019-06,81713
2019-07,81219
2019-08,82285
2019-09,80613
2019-10,82459
2019-11,83374
2019-12,83315
2020-01,83017
2020-02,82111
2020-03,82300
2020-04,82568
2020-05,71365
2020-06,70263
2020-07,71599
2020-08,72711
2020-09,72607
2020-10,73119
2020-11,74981
2020-12,75476
2021-01,75998
2021-02,73842
2021-03,75821
2021-04,75356
2021-05,75887
2021-06,76477
2021-07,77658
2021-08,77234
2021-09,77583
2021-10,78903
2021-11,79747
