Year,Month,YM,RegUncertaintyIndex_Econ,RegUncertaintyIndex_Broad,RegUncertaintyIndex_Journal
1985,1,1,0.41938974383306776,0.3802823783502705,
1985,2,2,0.6486179218186788,0.5730615379517345,
1985,3,3,0.6198180922209199,0.5686594636642238,
1985,4,4,0.7401986666688183,0.6545077600968212,
1985,5,5,0.5801068111993363,0.5077599837431767,
1985,6,6,0.6085765645606813,0.536372222127005,
1985,7,7,0.6968965972818659,0.6225198932634814,
1985,8,8,0.5921581968976747,0.4872854477637004,
1985,9,9,0.7015042392582579,0.6100658764113162,
1985,10,10,0.7981488863637386,0.7245812347203172,
1985,11,11,0.6427508361876282,0.5852184410534894,
1985,12,12,0.582664554510539,0.5217450977078573,
1986,1,13,0.5997246893345958,0.547547707202034,
1986,2,14,0.664108978813462,0.5946362644622311,
1986,3,15,0.5296665762385729,0.46689233580595374,
1986,4,16,0.7285995241742079,0.6961229682479619,
1986,5,17,0.7997593736340379,0.7605733579382475,
1986,6,18,0.4542562369765069,0.38930675724267405,
1986,7,19,0.6271082612191173,0.5772215968819014,
1986,8,20,0.6788161421612753,0.6505358221770159,
1986,9,21,0.7049146968128702,0.6751134026507495,
1986,10,22,0.5414377151337156,0.49245985977762613,
1986,11,23,0.7396389409795951,0.7015885869736284,
1986,12,24,0.4766234258719957,0.4312753090360966,
1987,1,25,0.47120078230447066,0.4088683655279498,
1987,2,26,0.7281822861978394,0.6772390961466045,
1987,3,27,0.5974074767260398,0.5615653581480314,
1987,4,28,0.5657992741551656,0.4987003705970854,
1987,5,29,0.556918101106521,0.4820800199934806,
1987,6,30,0.5910638920928005,0.5702261158041305,
1987,7,31,0.6414380465760047,0.5535991835479912,
1987,8,32,0.6291714250598786,0.5591964597688536,
1987,9,33,0.7591329722186677,0.6975406963876253,
1987,10,34,0.6100838646053446,0.5190509807472785,
1987,11,35,0.5484548596729164,0.5237616307402522,
1987,12,36,0.8472683018249754,0.7810931219381715,
1988,1,37,0.6048631995967166,0.5651113361352816,
1988,2,38,0.7296979095496877,0.6657536089299696,
1988,3,39,0.6195398702186555,0.5489825611787026,
1988,4,40,0.6706955354560687,0.6095174649786402,
1988,5,41,0.6546830115113343,0.5927750916557476,
1988,6,42,0.5955394133284667,0.5096558141948634,
1988,7,43,0.7714673080216388,0.6758485070954928,
1988,8,44,0.5689280948534321,0.49690962069321504,
1988,9,45,0.7716987313346969,0.7236697877682741,
1988,10,46,0.5879515465513283,0.5501642400043885,
1988,11,47,0.7146275047907129,0.6492043134136564,
1988,12,48,0.5389857604676423,0.4690844896424289,
1989,1,49,0.7704506128675005,0.7008866154744361,
1989,2,50,0.6746165681153673,0.5857756087888054,
1989,3,51,0.8033225395140525,0.7455003535243551,
1989,4,52,0.6419261710830712,0.5993662970633377,
1989,5,53,0.6323796249954624,0.5765934290218196,
1989,6,54,0.5664547526323748,0.4990195592073399,
1989,7,55,0.7588827215297714,0.7099027032788956,
1989,8,56,0.5421422699686943,0.4585553529744915,
1989,9,57,0.5288123267778112,0.4591724020072945,
1989,10,58,0.6204803608840448,0.6271320323220431,
1989,11,59,0.5048264888829239,0.5160115257662181,
1989,12,60,0.6057941045957049,0.5346154103905301,
1990,1,61,0.5318849243284598,0.4649329875615031,
1990,2,62,0.699890770269582,0.625385260728003,
1990,3,63,0.7079512840890595,0.6540368291569612,
1990,4,64,0.6154398471964345,0.5277052352692816,
1990,5,65,0.5429996560694832,0.4804360994082292,
1990,6,66,0.7412849859798919,0.667311958177321,
1990,7,67,0.7844152988306973,0.6968992146970997,
1990,8,68,0.8490426786811265,0.7973173498840403,
1990,9,69,0.8032266847820888,0.7866671128078219,
1990,10,70,0.7341618331118303,0.6716932502523025,
1990,11,71,0.7044145031136935,0.6712761634711191,
1990,12,72,0.718548974983062,0.6983914669552199,
1991,1,73,0.8729335683840492,0.8333289874689617,0.8336918945185992
1991,2,74,0.5730036054237044,0.5176857919129526,0.8502107759186415
1991,3,75,0.599440021569584,0.5485966988828657,0.2128991271186062
1991,4,76,0.6959002008318217,0.6952361138465362,0.5628016763471848
1991,5,77,0.5422342078782348,0.5244894144729719,1.152529602918613
1991,6,78,0.6435713339287945,0.6287907022135041,0.3265884104185953
1991,7,79,0.6038537913902287,0.5342778231783885,0.936687018751946
1991,8,80,0.762430888948878,0.8078742552035151,0.3514747571686017
1991,9,81,0.6494615018472497,0.6381682600410675,0.6541660585852686
1991,10,82,0.5882363585245494,0.6357786504741619,0.6752947560095138
1991,11,83,0.7549628531659089,0.7276600664790872,0.5232472872519318
1991,12,84,0.6494818418320575,0.6664125189147391,0.6993023855955177
1992,1,85,0.4751978467784179,0.4465147895571845,1.133885677614551
1992,2,86,0.732536262803748,0.6979307319870083,1.1103559678627055
1992,3,87,0.5527727051407099,0.5371209991366875,1.0416273243705274
1992,4,88,0.5869998705470709,0.5920777732255091,0.83398410405543
1992,5,89,0.5010578635238973,0.4624687954947894,0.728815707501684
1992,6,90,0.5326353267692825,0.5397304942350607,0.7306611717445439
1992,7,91,0.7412346771551769,0.7020425850099169,0.8129093966436068
1992,8,92,0.7780418430917256,0.7327439852429912,0.5559507108499211
1992,9,93,0.4925321314132154,0.45121139757240175,0.5413277403941636
1992,10,94,0.6801394626224508,0.6922131032590141,0.8411916123868832
1992,11,95,0.6445678636676454,0.5755340854416293,0.9128111995202355
1992,12,96,0.6982354150915865,0.6311729225550637,0.7136211375514069
1993,1,97,0.6303756258449873,0.6031079725990143,0.6231663549114567
1993,2,98,0.6424713727889222,0.664102969890436,0.5357423018301785
