Year,Month,YM,RegUncertaintyIndex
2005,5,245,0.625948899
2005,6,246,0.777228208
2005,7,247,0.728967569
2005,8,248,0.700285711
2005,9,249,0.728444329
2005,10,250,0.6801357
2005,11,251,0.728382264
2005,12,252,0.753805592
2006,1,253,0.644404852
2006,2,254,0.601447173
2006,3,255,0.711722646
2006,4,256,0.777422474
2006,5,257,0.73841978
2006,6,258,0.714047268
2006,7,259,0.605944539
2006,8,260,0.665039403
2006,9,261,0.620080426
2006,10,262,0.61395411
2006,11,263,0.686727832
2006,12,264,0.67799269
2007,1,265,0.726121609
2007,2,266,0.662627787
2007,3,267,0.601423986
2007,4,268,0.658839108
2007,5,269,0.672583678
2007,6,270,0.737976049
2007,7,271,0.64451471
2007,8,272,0.56564796
2007,9,273,0.57394192
2007,10,274,0.674749638
2007,11,275,0.57718597
2007,12,276,0.685466084
2008,1,277,0.693344517
2008,2,278,0.796842375
2008,3,279,0.604837164
2008,4,280,0.720836519
2008,5,281,0.820507977
2008,6,282,0.72255692
2008,7,283,0.698209137
2008,8,284,0.690821233
2008,9,285,0.73786569
2008,10,286,0.647633445
2008,11,287,0.694741244
2008,12,288,0.649980596
2009,1,289,0.722181554
2009,2,290,0.678979233
2009,3,291,0.748873625
2009,4,292,0.573687924
2009,5,293,0.878859908
2009,6,294,0.790252549
2009,7,295,0.718143421
2009,8,296,0.78156375
2009,9,297,0.559242508
2009,10,298,0.737941354
2009,11,299,0.71255039
2009,12,300,0.666313869
2010,1,301,0.739012779
2010,2,302,0.703745895
2010,3,303,0.726957225
2010,4,304,0.717235561
2010,5,305,0.73775754
2010,6,306,0.706213327
2010,7,307,0.673877729
2010,8,308,0.73040038
2010,9,309,0.696712194
2010,10,310,0.74011155
2010,11,311,0.797416303
2010,12,312,0.672774941
2011,1,313,0.654344116
2011,2,314,0.65222123
2011,3,315,0.717119802
2011,4,316,0.69731475
2011,5,317,0.706064839
2011,6,318,0.700354309
2011,7,319,0.784832081
2011,8,320,0.694301846
2011,9,321,0.637982011
